Student_ID,Name,Gender,Class_Room,Travel_Method,Math_Score,Science_Score,Study_Hours,Absence_Days,Club
S036,Student036,Female,Room_A,Bus,92,99,4.20,1,Math
S037,Student037,Male,Room_B,Car,94,64,4.40,2,Sports
S038,Student038,Female,Room_C,Walk,96,66,4.60,3,Music
S039,Student039,Male,Room_D,Bicycle,98,68,4.80,4,Art
S040,Student040,Female,Room_E,Van,60,70,1.00,5,Science
S041,Student041,Male,Room_A,Bus,62,72,1.20,0,Drama
S042,Student042,Female,Room_B,Car,64,74,1.40,1,Math
S043,Student043,Male,Room_C,Walk,66,76,1.60,2,Sports
S044,Student044,Female,Room_D,Bicycle,68,78,1.80,3,Music
S045,Student045,Male,Room_E,Van,70,80,2.00,4,Art
S046,Student046,Female,Room_A,Bus,72,82,2.20,5,Science
S047,Student047,Male,Room_B,Car,74,84,2.40,0,Drama
S048,Student048,Female,Room_C,Walk,76,86,2.60,1,Math
S049,Student049,Male,Room_D,Bicycle,78,88,2.80,2,Sports
S050,Student050,Female,Room_E,Van,80,90,3.00,3,Music
S051,Student051,Male,Room_A,Bus,82,92,3.20,4,Art
S052,Student052,Female,Room_B,Car,84,94,3.40,5,Science
S053,Student053,Male,Room_C,Walk,86,96,3.60,0,Drama
S054,Student054,Female,Room_D,Bicycle,88,98,3.80,1,Math
S055,Student055,Male,Room_E,Van,90,100,4.00,2,Sports
S056,Student056,Female,Room_A,Bus,92,65,4.20,3,Music
S057,Student057,Male,Room_B,Car,94,67,4.40,4,Art
S058,Student058,Female,Room_C,Walk,96,69,4.60,5,Science
S059,Student059,Male,Room_D,Bicycle,98,71,4.80,0,Drama
S060,Student060,Female,Room_E,Van,60,73,1.00,1,Math
S061,Student061,Male,Room_A,Bus,62,75,1.20,2,Sports
S062,Student062,Female,Room_B,Car,64,77,1.40,3,Music
S063,Student063,Male,Room_C,Walk,66,79,1.60,4,Art
S064,Student064,Female,Room_D,Bicycle,68,81,1.80,5,Science
S065,Student065,Male,Room_E,Van,70,83,2.00,0,Drama
S066,Student066,Female,Room_A,Bus,72,85,2.20,1,Math
S067,Student067,Male,Room_B,Car,74,87,2.40,2,Sports
S068,Student068,Female,Room_C,Walk,76,89,2.60,3,Music
S069,Student069,Male,Room_D,Bicycle,78,91,2.80,4,Art
S070,Student070,Female,Room_E,Van,80,93,3.00,5,Science
S071,Student071,Male,Room_A,Bus,82,95,3.20,0,Drama
S072,Student072,Female,Room_B,Car,84,97,3.40,1,Math
S073,Student073,Male,Room_C,Walk,86,99,3.60,2,Sports
S074,Student074,Female,Room_D,Bicycle,88,64,3.80,3,Music
S075,Student075,Male,Room_E,Van,90,66,4.00,4,Art
S076,Student076,Female,Room_A,Bus,92,68,4.20,5,Science
S077,Student077,Male,Room_B,Car,94,70,4.40,0,Drama
S078,Student078,Female,Room_C,Walk,96,72,4.60,1,Math
S079,Student079,Male,Room_D,Bicycle,98,74,4.80,2,Sports
S080,Student080,Female,Room_E,Van,60,76,1.00,3,Music
S081,Student081,Male,Room_A,Bus,62,78,1.20,4,Art
S082,Student082,Female,Room_B,Car,64,80,1.40,5,Science
S083,Student083,Male,Room_C,Walk,66,82,1.60,0,Drama
S084,Student084,Female,Room_D,Bicycle,68,84,1.80,1,Math
S085,Student085,Male,Room_E,Van,70,86,2.00,2,Sports
S086,Student086,Female,Room_A,Bus,72,88,2.20,3,Music
S087,Student087,Male,Room_B,Car,74,90,2.40,4,Art
S088,Student088,Female,Room_C,Walk,76,92,2.60,5,Science
S089,Student089,Male,Room_D,Bicycle,78,94,2.80,0,Drama
S090,Student090,Female,Room_E,Van,80,96,3.00,1,Math
S091,Student091,Male,Room_A,Bus,82,98,3.20,2,Sports
S092,Student092,Female,Room_B,Car,84,100,3.40,3,Music
S093,Student093,Male,Room_C,Walk,86,65,3.60,4,Art
S094,Student094,Female,Room_D,Bicycle,88,67,3.80,5,Science
S095,Student095,Male,Room_E,Van,90,69,4.00,0,Drama
S096,Student096,Female,Room_A,Bus,92,71,4.20,1,Math
S097,Student097,Male,Room_B,Car,94,73,4.40,2,Sports
S098,Student098,Female,Room_C,Walk,96,75,4.60,3,Music
S099,Student099,Male,Room_D,Bicycle,98,77,4.80,4,Art
S100,Student100,Female,Room_E,Van,60,79,1.00,5,Science
S101,Student101,Male,Room_A,Bus,62,66,1.20,5,Sports
S102,Student102,Female,Room_B,Car,64,68,1.40,4,Music
S103,Student103,Male,Room_C,Walk,66,70,1.60,3,Art
S104,Student104,Female,Room_D,Bicycle,68,72,1.80,2,Science
S105,Student105,Male,Room_E,Van,70,74,2.00,1,Drama
S106,Student106,Female,Room_A,Bus,72,76,2.20,0,Math
S107,Student107,Male,Room_B,Car,74,78,2.40,2,Sports
S108,Student108,Female,Room_C,Walk,76,80,2.60,3,Music
S109,Student109,Male,Room_D,Bicycle,78,82,2.80,4,Art
S110,Student110,Female,Room_E,Van,80,84,3.00,5,Science
S111,Student111,Male,Room_A,Bus,82,86,3.20,1,Drama
S112,Student112,Female,Room_B,Car,84,88,3.40,0,Math
S113,Student113,Male,Room_C,Walk,86,90,3.60,2,Sports
S114,Student114,Female,Room_D,Bicycle,88,92,3.80,3,Music
S115,Student115,Male,Room_E,Van,90,94,4.00,4,Art
S116,Student116,Female,Room_A,Bus,92,96,4.20,5,Science
S117,Student117,Male,Room_B,Car,94,98,4.40,0,Drama
S118,Student118,Female,Room_C,Walk,96,100,4.60,1,Math
S119,Student119,Male,Room_D,Bicycle,98,65,4.80,2,Sports
S120,Student120,Female,Room_E,Van,60,67,1.00,3,Music
S121,Student121,Male,Room_A,Bus,62,69,1.20,4,Art
S122,Student122,Female,Room_B,Car,64,71,1.40,5,Science
S123,Student123,Male,Room_C,Walk,66,73,1.60,0,Drama
S124,Student124,Female,Room_D,Bicycle,68,75,1.80,1,Math
S125,Student125,Male,Room_E,Van,70,77,2.00,2,Sports
S126,Student126,Female,Room_A,Bus,72,79,2.20,3,Music
S127,Student127,Male,Room_B,Car,74,81,2.40,4,Art
S128,Student128,Female,Room_C,Walk,76,83,2.60,5,Science
S129,Student129,Male,Room_D,Bicycle,78,85,2.80,0,Drama
S130,Student130,Female,Room_E,Van,80,87,3.00,1,Math
S131,Student131,Male,Room_A,Bus,82,89,3.20,2,Sports
S132,Student132,Female,Room_B,Car,84,91,3.40,3,Music
S133,Student133,Male,Room_C,Walk,86,93,3.60,4,Art
S134,Student134,Female,Room_D,Bicycle,88,95,3.80,5,Science
S135,Student135,Male,Room_E,Van,90,97,4.00,0,Drama
S136,Student136,Female,Room_A,Bus,92,99,4.20,1,Math
S137,Student137,Male,Room_B,Car,94,64,4.40,2,Sports
S138,Student138,Female,Room_C,Walk,96,66,4.60,3,Music
S139,Student139,Male,Room_D,Bicycle,98,68,4.80,4,Art
S140,Student140,Female,Room_E,Van,60,70,1.00,5,Science
S141,Student141,Male,Room_A,Bus,62,72,1.20,0,Drama
S142,Student142,Female,Room_B,Car,64,74,1.40,1,Math
S143,Student143,Male,Room_C,Walk,66,76,1.60,2,Sports
S144,Student144,Female,Room_D,Bicycle,68,78,1.80,3,Music
S145,Student145,Male,Room_E,Van,70,80,2.00,4,Art
S146,Student146,Female,Room_A,Bus,72,82,2.20,5,Science
S147,Student147,Male,Room_B,Car,74,84,2.40,0,Drama
S148,Student148,Female,Room_C,Walk,76,86,2.60,1,Math
S149,Student149,Male,Room_D,Bicycle,78,88,2.80,2,Sports
S150,Student150,Female,Room_E,Van,80,90,3.00,3,Music
S151,Student151,Male,Room_A,Bus,82,92,3.20,4,Art
S152,Student152,Female,Room_B,Car,84,94,3.40,5,Science
S153,Student153,Male,Room_C,Walk,86,96,3.60,0,Drama
S154,Student154,Female,Room_D,Bicycle,88,98,3.80,1,Math
S155,Student155,Male,Room_E,Van,90,100,4.00,2,Sports
S156,Student156,Female,Room_A,Bus,92,65,4.20,3,Music
S157,Student157,Male,Room_B,Car,94,67,4.40,4,Art
S158,Student158,Female,Room_C,Walk,96,69,4.60,5,Science
S159,Student159,Male,Room_D,Bicycle,98,71,4.80,0,Drama
S160,Student160,Female,Room_E,Van,60,73,1.00,1,Math
S161,Student161,Male,Room_A,Bus,62,75,1.20,2,Sports
S162,Student162,Female,Room_B,Car,64,77,1.40,3,Music
S163,Student163,Male,Room_C,Walk,66,79,1.60,4,Art
S164,Student164,Female,Room_D,Bicycle,68,81,1.80,5,Science
S165,Student165,Male,Room_E,Van,70,83,2.00,0,Drama
S166,Student166,Female,Room_A,Bus,72,85,2.20,1,Math
S167,Student167,Male,Room_B,Car,74,87,2.40,2,Sports
S168,Student168,Female,Room_C,Walk,76,89,2.60,3,Music
S169,Student169,Male,Room_D,Bicycle,78,91,2.80,4,Art
S170,Student170,Female,Room_E,Van,80,93,3.00,5,Science
S171,Student171,Male,Room_A,Bus,82,95,3.20,0,Drama
S172,Student172,Female,Room_B,Car,84,97,3.40,1,Math
S173,Student173,Male,Room_C,Walk,86,99,3.60,2,Sports
S174,Student174,Female,Room_D,Bicycle,88,64,3.80,3,Music
S175,Student175,Male,Room_E,Van,90,66,4.00,4,Art
S176,Student176,Female,Room_A,Bus,92,68,4.20,5,Science
S177,Student177,Male,Room_B,Car,94,70,4.40,0,Drama
S178,Student178,Female,Room_C,Walk,96,72,4.60,1,Math
S179,Student179,Male,Room_D,Bicycle,98,74,4.80,2,Sports
S180,Student180,Female,Room_E,Van,60,76,1.00,3,Music
S181,Student181,Male,Room_A,Bus,62,78,1.20,4,Art
S182,Student182,Female,Room_B,Car,64,80,1.40,5,Science
S183,Student183,Male,Room_C,Walk,66,82,1.60,0,Drama
S184,Student184,Female,Room_D,Bicycle,68,84,1.80,1,Math
S185,Student185,Male,Room_E,Van,70,86,2.00,2,Sports
S186,Student186,Female,Room_A,Bus,72,88,2.20,3,Music
S187,Student187,Male,Room_B,Car,74,90,2.40,4,Art
S188,Student188,Female,Room_C,Walk,76,92,2.60,5,Science
S189,Student189,Male,Room_D,Bicycle,78,94,2.80,0,Drama
S190,Student190,Female,Room_E,Van,80,96,3.00,1,Math
S191,Student191,Male,Room_A,Bus,82,98,3.20,2,Sports
S192,Student192,Female,Room_B,Car,84,100,3.40,3,Music
S193,Student193,Male,Room_C,Walk,86,65,3.60,4,Art
S194,Student194,Female,Room_D,Bicycle,88,67,3.80,5,Science
S195,Student195,Male,Room_E,Van,90,69,4.00,0,Drama
S196,Student196,Female,Room_A,Bus,92,71,4.20,1,Math
S197,Student197,Male,Room_B,Car,94,73,4.40,2,Sports
S198,Student198,Female,Room_C,Walk,96,75,4.60,3,Music
S199,Student199,Male,Room_D,Bicycle,98,77,4.80,4,Art
S200,Student200,Female,Room_E,Van,60,79,1.00,5,Science
S201,Student201,Male,Room_A,Bus,62,66,1.20,5,Sports
S202,Student202,Female,Room_B,Car,64,68,1.40,4,Music
S203,Student203,Male,Room_C,Walk,66,70,1.60,3,Art
S204,Student204,Female,Room_D,Bicycle,68,72,1.80,2,Science
S205,Student205,Male,Room_E,Van,70,74,2.00,1,Drama
S206,Student206,Female,Room_A,Bus,72,76,2.20,0,Math
S207,Student207,Male,Room_B,Car,74,78,2.40,2,Sports
S208,Student208,Female,Room_C,Walk,76,80,2.60,3,Music
S209,Student209,Male,Room_D,Bicycle,78,82,2.80,4,Art
S210,Student210,Female,Room_E,Van,80,84,3.00,5,Science
S211,Student211,Male,Room_A,Bus,82,86,3.20,1,Drama
S212,Student212,Female,Room_B,Car,84,88,3.40,0,Math
S213,Student213,Male,Room_C,Walk,86,90,3.60,2,Sports
S214,Student214,Female,Room_D,Bicycle,88,92,3.80,3,Music
S215,Student215,Male,Room_E,Van,90,94,4.00,4,Art
S216,Student216,Female,Room_A,Bus,92,96,4.20,5,Science
S217,Student217,Male,Room_B,Car,94,98,4.40,0,Drama
S218,Student218,Female,Room_C,Walk,96,100,4.60,1,Math
S219,Student219,Male,Room_D,Bicycle,98,65,4.80,2,Sports
S220,Student220,Female,Room_E,Van,60,67,1.00,3,Music
S221,Student221,Male,Room_A,Bus,62,69,1.20,4,Art
S222,Student222,Female,Room_B,Car,64,71,1.40,5,Science
S223,Student223,Male,Room_C,Walk,66,73,1.60,0,Drama
S224,Student224,Female,Room_D,Bicycle,68,75,1.80,1,Math
S225,Student225,Male,Room_E,Van,70,77,2.00,2,Sports
S226,Student226,Female,Room_A,Bus,72,79,2.20,3,Music
S227,Student227,Male,Room_B,Car,74,81,2.40,4,Art
S228,Student228,Female,Room_C,Walk,76,83,2.60,5,Science
S229,Student229,Male,Room_D,Bicycle,78,85,2.80,0,Drama
S230,Student230,Female,Room_E,Van,80,87,3.00,1,Math
S231,Student231,Male,Room_A,Bus,82,89,3.20,2,Sports
S232,Student232,Female,Room_B,Car,84,91,3.40,3,Music
S233,Student233,Male,Room_C,Walk,86,93,3.60,4,Art
S234,Student234,Female,Room_D,Bicycle,88,95,3.80,5,Science
S235,Student235,Male,Room_E,Van,90,97,4.00,0,Drama
S236,Student236,Female,Room_A,Bus,92,99,4.20,1,Math
S237,Student237,Male,Room_B,Car,94,64,4.40,2,Sports
S238,Student238,Female,Room_C,Walk,96,66,4.60,3,Music
S239,Student239,Male,Room_D,Bicycle,98,68,4.80,4,Art
S240,Student240,Female,Room_E,Van,60,70,1.00,5,Science
S241,Student241,Male,Room_A,Bus,62,72,1.20,0,Drama
S242,Student242,Female,Room_B,Car,64,74,1.40,1,Math
S243,Student243,Male,Room_C,Walk,66,76,1.60,2,Sports
S244,Student244,Female,Room_D,Bicycle,68,78,1.80,3,Music
S245,Student245,Male,Room_E,Van,70,80,2.00,4,Art
S246,Student246,Female,Room_A,Bus,72,82,2.20,5,Science
S247,Student247,Male,Room_B,Car,74,84,2.40,0,Drama
S248,Student248,Female,Room_C,Walk,76,86,2.60,1,Math
S249,Student249,Male,Room_D,Bicycle,78,88,2.80,2,Sports
S250,Student250,Female,Room_E,Van,80,90,3.00,3,Music
S251,Student251,Male,Room_A,Bus,82,92,3.20,4,Art
S252,Student252,Female,Room_B,Car,84,94,3.40,5,Science
S253,Student253,Male,Room_C,Walk,86,96,3.60,0,Drama
S254,Student254,Female,Room_D,Bicycle,88,98,3.80,1,Math
S255,Student255,Male,Room_E,Van,90,100,4.00,2,Sports
S256,Student256,Female,Room_A,Bus,92,65,4.20,3,Music
S257,Student257,Male,Room_B,Car,94,67,4.40,4,Art
S258,Student258,Female,Room_C,Walk,96,69,4.60,5,Science
S259,Student259,Male,Room_D,Bicycle,98,71,4.80,0,Drama
S260,Student260,Female,Room_E,Van,60,73,1.00,1,Math
S261,Student261,Male,Room_A,Bus,62,75,1.20,2,Sports
S262,Student262,Female,Room_B,Car,64,77,1.40,3,Music
S263,Student263,Male,Room_C,Walk,66,79,1.60,4,Art
S264,Student264,Female,Room_D,Bicycle,68,81,1.80,5,Science
S265,Student265,Male,Room_E,Van,70,83,2.00,0,Drama
S266,Student266,Female,Room_A,Bus,72,85,2.20,1,Math
S267,Student267,Male,Room_B,Car,74,87,2.40,2,Sports
S268,Student268,Female,Room_C,Walk,76,89,2.60,3,Music
S269,Student269,Male,Room_D,Bicycle,78,91,2.80,4,Art
S270,Student270,Female,Room_E,Van,80,93,3.00,5,Science
S271,Student271,Male,Room_A,Bus,82,95,3.20,0,Drama
S272,Student272,Female,Room_B,Car,84,97,3.40,1,Math
S273,Student273,Male,Room_C,Walk,86,99,3.60,2,Sports
S274,Student274,Female,Room_D,Bicycle,88,64,3.80,3,Music
S275,Student275,Male,Room_E,Van,90,66,4.00,4,Art
S276,Student276,Female,Room_A,Bus,92,68,4.20,5,Science
S277,Student277,Male,Room_B,Car,94,70,4.40,0,Drama
S278,Student278,Female,Room_C,Walk,96,72,4.60,1,Math
S279,Student279,Male,Room_D,Bicycle,98,74,4.80,2,Sports
S280,Student280,Female,Room_E,Van,60,76,1.00,3,Music
S281,Student281,Male,Room_A,Bus,62,78,1.20,4,Art
S282,Student282,Female,Room_B,Car,64,80,1.40,5,Science
S283,Student283,Male,Room_C,Walk,66,82,1.60,0,Drama
S284,Student284,Female,Room_D,Bicycle,68,84,1.80,1,Math
S285,Student285,Male,Room_E,Van,70,86,2.00,2,Sports
S286,Student286,Female,Room_A,Bus,72,88,2.20,3,Music
S287,Student287,Male,Room_B,Car,74,90,2.40,4,Art
S288,Student288,Female,Room_C,Walk,76,92,2.60,5,Science
S289,Student289,Male,Room_D,Bicycle,78,94,2.80,0,Drama
S290,Student290,Female,Room_E,Van,80,96,3.00,1,Math
S291,Student291,Male,Room_A,Bus,82,98,3.20,2,Sports
S292,Student292,Female,Room_B,Car,84,100,3.40,3,Music
S293,Student293,Male,Room_C,Walk,86,65,3.60,4,Art
S294,Student294,Female,Room_D,Bicycle,88,67,3.80,5,Science
S295,Student295,Male,Room_E,Van,90,69,4.00,0,Drama
S296,Student296,Female,Room_A,Bus,92,71,4.20,1,Math
S297,Student297,Male,Room_B,Car,94,73,4.40,2,Sports
S298,Student298,Female,Room_C,Walk,96,75,4.60,3,Music
S299,Student299,Male,Room_D,Bicycle,98,77,4.80,4,Art
S300,Student300,Female,Room_E,Van,60,79,1.00,5,Science
