Student_ID,Name,Gender,Class_Room,Travel_Method,Math_Score,Science_Score,Study_Hours,Absence_Days,Club
S045,Student045,Male,Room_E,Van,68,72,2.40,2,Art
S046,Student046,Female,Room_D,Bicycle,81,85,3.80,0,Music
S047,Student047,Male,Room_A,Bus,55,58,1.00,5,Drama
S048,Student048,Female,Room_B,Car,92,95,5.10,0,Math
S049,Student049,Male,Room_C,Walk,64,67,1.90,3,Sports
S050,Student050,Female,Room_E,Van,73,78,2.90,1,Science
S051,Student051,Male,Room_A,Bus,84,88,4.20,0,Art
S052,Student052,Female,Room_D,Bicycle,67,71,2.10,2,Music
S053,Student053,Male,Room_B,Car,88,91,4.70,0,Sports
S054,Student054,Female,Room_C,Walk,61,65,1.60,3,Math
S055,Student055,Male,Room_E,Van,76,80,3.10,1,Science
S056,Student056,Female,Room_A,Bus,70,74,2.50,2,Drama
S057,Student057,Male,Room_B,Car,83,86,4.00,0,Art
S058,Student058,Female,Room_C,Walk,59,63,1.40,4,Music
S059,Student059,Male,Room_D,Bicycle,79,82,3.50,1,Sports
S060,Student060,Female,Room_E,Van,66,70,2.00,2,Math
S061,Student061,Male,Room_A,Bus,57,61,1.20,5,Science
S062,Student062,Female,Room_B,Car,86,89,4.50,0,Drama
S063,Student063,Male,Room_C,Walk,71,75,2.70,1,Art
S064,Student064,Female,Room_D,Bicycle,82,84,3.90,0,Math
S065,Student065,Male,Room_E,Van,69,72,2.30,2,Sports
S066,Student066,Female,Room_A,Bus,75,79,3.00,1,Science
S067,Student067,Male,Room_B,Car,91,94,5.00,0,Art
S068,Student068,Female,Room_C,Walk,62,66,1.80,3,Music
S069,Student069,Male,Room_D,Bicycle,78,81,3.40,1,Drama
S070,Student070,Female,Room_E,Van,65,69,2.00,2,Math
S071,Student071,Male,Room_A,Bus,80,83,3.70,1,Sports
S072,Student072,Female,Room_B,Car,87,90,4.60,0,Science
S073,Student073,Male,Room_C,Walk,58,61,1.30,4,Art
S074,Student074,Female,Room_D,Bicycle,74,78,2.90,1,Music
S075,Student075,Male,Room_E,Van,68,71,2.20,2,Drama
S076,Student076,Female,Room_A,Bus,85,88,4.30,0,Math
S077,Student077,Male,Room_B,Car,63,67,1.70,3,Sports
S078,Student078,Female,Room_C,Walk,77,80,3.20,1,Science
S079,Student079,Male,Room_D,Bicycle,72,76,2.60,2,Art
S080,Student080,Female,Room_E,Van,89,92,4.80,0,Music
S081,Student081,Male,Room_A,Bus,56,60,1.10,5,Drama
S082,Student082,Female,Room_B,Car,81,85,3.80,0,Math
S083,Student083,Male,Room_C,Walk,67,71,2.20,2,Sports
S084,Student084,Female,Room_D,Bicycle,73,77,2.80,1,Science
S085,Student085,Male,Room_E,Van,90,93,4.90,0,Art
S086,Student086,Female,Room_A,Bus,64,68,1.80,3,Music
S087,Student087,Male,Room_B,Car,78,82,3.40,1,Drama
S088,Student088,Female,Room_C,Walk,60,64,1.50,4,Math
S089,Student089,Male,Room_D,Bicycle,84,87,4.10,0,Sports
S090,Student090,Female,Room_E,Van,71,75,2.70,1,Science
S091,Student091,Male,Room_A,Bus,76,79,3.10,1,Art
S092,Student092,Female,Room_B,Car,88,91,4.70,0,Music
S093,Student093,Male,Room_C,Walk,59,62,1.40,4,Drama
S094,Student094,Female,Room_D,Bicycle,82,86,3.90,0,Math
S095,Student095,Male,Room_E,Van,66,70,2.10,2,Sports
S096,Student096,Female,Room_A,Bus,74,78,2.90,1,Science
S097,Student097,Male,Room_B,Car,93,96,5.20,0,Art
S098,Student098,Female,Room_C,Walk,62,65,1.70,3,Music
S099,Student099,Male,Room_D,Bicycle,79,83,3.50,1,Drama
S100,Student100,Female,Room_E,Van,68,72,2.30,2,Math
S101,Student101,Male,Room_A,Bus,58,61,1.20,4,Sports
S102,Student102,Female,Room_B,Car,72,76,2.80,1,Music
S103,Student103,Male,Room_C,Walk,65,68,2.00,2,Art
S104,Student104,Female,Room_A,Bus,80,84,3.70,0,Science
S105,Student105,Male,Room_E,Van,69,73,2.40,2,Drama
S106,Student106,Female,Room_D,Bicycle,77,81,3.20,1,Math
S107,Student107,Male,Room_A,Bus,55,59,1.00,5,Sports
S108,Student108,Female,Room_B,Car,89,92,4.80,0,Science
S109,Student109,Male,Room_C,Walk,63,66,1.90,3,Art
S110,Student110,Female,Room_E,Van,74,78,2.90,1,Music
S111,Student111,Male,Room_A,Bus,83,87,4.10,0,Sports
S112,Student112,Female,Room_D,Bicycle,67,71,2.10,2,Math
S113,Student113,Male,Room_B,Car,91,94,5.00,0,Science
S114,Student114,Female,Room_C,Walk,60,64,1.40,4,Drama
S115,Student115,Male,Room_E,Van,71,75,2.60,2,Art
S116,Student116,Female,Room_A,Bus,76,80,3.30,1,Math
S117,Student117,Male,Room_B,Car,64,69,1.90,3,Sports
S118,Student118,Female,Room_C,Walk,86,90,4.50,0,Music
S119,Student119,Male,Room_D,Bicycle,73,76,2.80,1,Science
S120,Student120,Female,Room_E,Van,61,66,1.60,3,Drama
S121,Student121,Male,Room_A,Bus,79,82,3.50,1,Sports
S122,Student122,Female,Room_B,Car,68,73,2.30,2,Math
S123,Student123,Male,Room_C,Walk,57,61,1.20,5,Art
S124,Student124,Female,Room_D,Bicycle,84,88,4.20,0,Science
S125,Student125,Male,Room_E,Van,70,74,2.50,2,Music
S126,Student126,Female,Room_A,Bus,75,79,3.10,1,Math
S127,Student127,Male,Room_B,Car,82,85,3.90,0,Sports
S128,Student128,Female,Room_C,Walk,66,69,2.10,2,Art
S129,Student129,Male,Room_D,Bicycle,90,92,4.90,0,Science
S130,Student130,Female,Room_E,Van,63,68,1.70,3,Drama
S131,Student131,Male,Room_A,Bus,78,81,3.40,1,Sports
S132,Student132,Female,Room_B,Car,71,75,2.80,1,Music
S133,Student133,Male,Room_C,Walk,56,60,1.10,4,Art
S134,Student134,Female,Room_D,Bicycle,85,89,4.30,0,Science
S135,Student135,Male,Room_E,Van,69,72,2.40,2,Drama
S136,Student136,Female,Room_A,Bus,74,78,3.00,1,Math
S137,Student137,Male,Room_B,Car,90,93,5.00,0,Sports
S138,Student138,Female,Room_C,Walk,60,63,1.50,4,Music
S139,Student139,Male,Room_D,Bicycle,72,75,2.70,2,Art
S140,Student140,Female,Room_E,Van,80,83,3.60,1,Science
S141,Student141,Male,Room_A,Bus,65,68,2.00,2,Drama
S142,Student142,Female,Room_B,Car,87,91,4.70,0,Math
S143,Student143,Male,Room_C,Walk,58,62,1.30,4,Sports
S144,Student144,Female,Room_A,Bus,77,80,3.20,1,Science
S145,Student145,Male,Room_E,Van,68,71,2.30,2,Art
S146,Student146,Female,Room_D,Bicycle,81,84,3.80,0,Music
S147,Student147,Male,Room_A,Bus,55,58,1.00,5,Drama
S148,Student148,Female,Room_B,Car,92,95,5.10,0,Math
S149,Student149,Male,Room_C,Walk,64,67,1.90,3,Sports
S150,Student150,Female,Room_E,Van,73,77,2.90,1,Science
S151,Student151,Male,Room_A,Bus,84,87,4.20,0,Art
S152,Student152,Female,Room_D,Bicycle,67,70,2.10,2,Music
S153,Student153,Male,Room_B,Car,88,92,4.80,0,Sports
S154,Student154,Female,Room_C,Walk,61,65,1.60,3,Math
S155,Student155,Male,Room_E,Van,76,79,3.10,1,Science
S156,Student156,Female,Room_A,Bus,70,73,2.50,2,Drama
S157,Student157,Male,Room_B,Car,83,86,4.00,0,Art
S158,Student158,Female,Room_C,Walk,59,63,1.40,4,Music
S159,Student159,Male,Room_D,Bicycle,79,83,3.50,1,Sports
S160,Student160,Female,Room_E,Van,66,69,2.00,2,Math
S161,Student161,Male,Room_A,Bus,57,60,1.20,5,Science
S162,Student162,Female,Room_B,Car,86,89,4.50,0,Drama
S163,Student163,Male,Room_C,Walk,71,74,2.70,1,Art
S164,Student164,Female,Room_D,Bicycle,82,85,3.90,0,Math
S165,Student165,Male,Room_E,Van,69,73,2.30,2,Sports
S166,Student166,Female,Room_A,Bus,75,78,3.00,1,Science
S167,Student167,Male,Room_B,Car,91,95,5.10,0,Art
S168,Student168,Female,Room_C,Walk,62,66,1.80,3,Music
S169,Student169,Male,Room_D,Bicycle,78,82,3.40,1,Drama
S170,Student170,Female,Room_E,Van,65,68,2.00,2,Math
S171,Student171,Male,Room_A,Bus,80,84,3.70,1,Sports
S172,Student172,Female,Room_B,Car,87,90,4.60,0,Science
S173,Student173,Male,Room_C,Walk,58,61,1.30,4,Art
S174,Student174,Female,Room_D,Bicycle,74,77,2.90,1,Music
S175,Student175,Male,Room_E,Van,68,72,2.20,2,Drama
S176,Student176,Female,Room_A,Bus,85,89,4.40,0,Math
S177,Student177,Male,Room_B,Car,63,66,1.70,3,Sports
S178,Student178,Female,Room_C,Walk,77,81,3.20,1,Science
S179,Student179,Male,Room_D,Bicycle,72,76,2.60,2,Art
S180,Student180,Female,Room_E,Van,89,93,4.90,0,Music
S181,Student181,Male,Room_A,Bus,56,59,1.10,5,Drama
S182,Student182,Female,Room_B,Car,81,84,3.80,0,Math
S183,Student183,Male,Room_C,Walk,67,70,2.20,2,Sports
S184,Student184,Female,Room_D,Bicycle,73,76,2.80,1,Science
S185,Student185,Male,Room_E,Van,90,94,5.00,0,Art
S186,Student186,Female,Room_A,Bus,64,67,1.80,3,Music
S187,Student187,Male,Room_B,Car,78,81,3.40,1,Drama
S188,Student188,Female,Room_C,Walk,60,64,1.50,4,Math
S189,Student189,Male,Room_D,Bicycle,84,88,4.10,0,Sports
S190,Student190,Female,Room_E,Van,71,74,2.70,1,Science
S191,Student191,Male,Room_A,Bus,76,80,3.10,1,Art
S192,Student192,Female,Room_B,Car,88,92,4.80,0,Music
S193,Student193,Male,Room_C,Walk,59,63,1.40,4,Drama
S194,Student194,Female,Room_D,Bicycle,82,85,3.90,0,Math
S195,Student195,Male,Room_E,Van,66,69,2.10,2,Sports
S196,Student196,Female,Room_A,Bus,74,77,2.90,1,Science
S197,Student197,Male,Room_B,Car,93,96,5.20,0,Art
S198,Student198,Female,Room_C,Walk,62,66,1.70,3,Music
S199,Student199,Male,Room_D,Bicycle,79,82,3.50,1,Drama
S200,Student200,Female,Room_E,Van,68,71,2.30,2,Math
S201,Student201,Male,Room_A,Bus,58,61,1.20,4,Sports
S202,Student202,Female,Room_B,Car,72,75,2.80,1,Music
S203,Student203,Male,Room_C,Walk,65,69,2.00,2,Art
S204,Student204,Female,Room_A,Bus,80,83,3.70,0,Science
S205,Student205,Male,Room_E,Van,69,72,2.40,2,Drama
S206,Student206,Female,Room_D,Bicycle,77,81,3.20,1,Math
S207,Student207,Male,Room_A,Bus,55,59,1.00,5,Sports
S208,Student208,Female,Room_B,Car,89,93,4.80,0,Science
S209,Student209,Male,Room_C,Walk,63,67,1.90,3,Art
S210,Student210,Female,Room_E,Van,74,77,2.90,1,Music
S211,Student211,Male,Room_A,Bus,83,87,4.10,0,Sports
S212,Student212,Female,Room_D,Bicycle,67,70,2.10,2,Math
S213,Student213,Male,Room_B,Car,91,95,5.00,0,Science
S214,Student214,Female,Room_C,Walk,60,63,1.40,4,Drama
S215,Student215,Male,Room_E,Van,71,74,2.60,2,Art
S216,Student216,Female,Room_A,Bus,76,79,3.30,1,Math
S217,Student217,Male,Room_B,Car,64,68,1.90,3,Sports
S218,Student218,Female,Room_C,Walk,86,90,4.50,0,Music
S219,Student219,Male,Room_D,Bicycle,73,77,2.80,1,Science
S220,Student220,Female,Room_E,Van,61,64,1.60,3,Drama
S221,Student221,Male,Room_A,Bus,79,82,3.50,1,Sports
S222,Student222,Female,Room_B,Car,68,72,2.30,2,Math
S223,Student223,Male,Room_C,Walk,57,60,1.20,5,Art
S224,Student224,Female,Room_D,Bicycle,84,88,4.20,0,Science
S225,Student225,Male,Room_E,Van,70,73,2.50,2,Music
S226,Student226,Female,Room_A,Bus,75,79,3.10,1,Math
S227,Student227,Male,Room_B,Car,82,86,3.90,0,Sports
S228,Student228,Female,Room_C,Walk,66,70,2.10,2,Art
S229,Student229,Male,Room_D,Bicycle,90,93,4.90,0,Science
S230,Student230,Female,Room_E,Van,63,67,1.70,3,Drama
S231,Student231,Male,Room_A,Bus,78,81,3.40,1,Sports
S232,Student232,Female,Room_B,Car,71,75,2.80,1,Music
S233,Student233,Male,Room_C,Walk,56,60,1.10,4,Art
S234,Student234,Female,Room_D,Bicycle,85,89,4.30,0,Science
S235,Student235,Male,Room_E,Van,69,72,2.40,2,Drama
S236,Student236,Female,Room_A,Bus,74,78,3.00,1,Math
S237,Student237,Male,Room_B,Car,90,94,5.00,0,Sports
S238,Student238,Female,Room_C,Walk,60,64,1.50,4,Music
S239,Student239,Male,Room_D,Bicycle,72,75,2.70,2,Art
S240,Student240,Female,Room_E,Van,80,84,3.60,1,Science
S241,Student241,Male,Room_A,Bus,65,68,2.00,2,Drama
S242,Student242,Female,Room_B,Car,87,90,4.70,0,Math
S243,Student243,Male,Room_C,Walk,58,62,1.30,4,Sports
S244,Student244,Female,Room_A,Bus,77,80,3.20,1,Science
S245,Student245,Male,Room_E,Van,68,71,2.30,2,Art
S246,Student246,Female,Room_D,Bicycle,81,85,3.80,0,Music
S247,Student247,Male,Room_A,Bus,55,58,1.00,5,Drama
S248,Student248,Female,Room_B,Car,92,96,5.10,0,Math
S249,Student249,Male,Room_C,Walk,64,67,1.90,3,Sports
S250,Student250,Female,Room_E,Van,73,77,2.90,1,Science
S251,Student251,Male,Room_A,Bus,84,88,4.20,0,Art
S252,Student252,Female,Room_D,Bicycle,67,71,2.10,2,Music
S253,Student253,Male,Room_B,Car,88,92,4.80,0,Sports
S254,Student254,Female,Room_C,Walk,61,65,1.60,3,Math
S255,Student255,Male,Room_E,Van,76,80,3.10,1,Science
S256,Student256,Female,Room_A,Bus,70,74,2.50,2,Drama
S257,Student257,Male,Room_B,Car,83,87,4.00,0,Art
S258,Student258,Female,Room_C,Walk,59,63,1.40,4,Music
S259,Student259,Male,Room_D,Bicycle,79,83,3.50,1,Sports
S260,Student260,Female,Room_E,Van,66,70,2.00,2,Math
S261,Student261,Male,Room_A,Bus,57,61,1.20,5,Science
S262,Student262,Female,Room_B,Car,86,90,4.50,0,Drama
S263,Student263,Male,Room_C,Walk,71,75,2.70,1,Art
S264,Student264,Female,Room_D,Bicycle,82,86,3.90,0,Math
S265,Student265,Male,Room_E,Van,69,73,2.30,2,Sports
S266,Student266,Female,Room_A,Bus,75,79,3.00,1,Science
S267,Student267,Male,Room_B,Car,91,95,5.10,0,Art
S268,Student268,Female,Room_C,Walk,62,66,1.80,3,Music
S269,Student269,Male,Room_D,Bicycle,78,82,3.40,1,Drama
S270,Student270,Female,Room_E,Van,65,69,2.00,2,Math
S271,Student271,Male,Room_A,Bus,80,84,3.70,1,Sports
S272,Student272,Female,Room_B,Car,87,91,4.60,0,Science
S273,Student273,Male,Room_C,Walk,58,62,1.30,4,Art
S274,Student274,Female,Room_D,Bicycle,74,78,2.90,1,Music
S275,Student275,Male,Room_E,Van,68,72,2.20,2,Drama
S276,Student276,Female,Room_A,Bus,85,89,4.40,0,Math
S277,Student277,Male,Room_B,Car,63,67,1.70,3,Sports
S278,Student278,Female,Room_C,Walk,77,81,3.20,1,Science
S279,Student279,Male,Room_D,Bicycle,72,76,2.60,2,Art
S280,Student280,Female,Room_E,Van,89,93,4.90,0,Music
S281,Student281,Male,Room_A,Bus,56,60,1.10,5,Drama
S282,Student282,Female,Room_B,Car,81,85,3.80,0,Math
S283,Student283,Male,Room_C,Walk,67,71,2.20,2,Sports
S284,Student284,Female,Room_D,Bicycle,73,77,2.80,1,Science
S285,Student285,Male,Room_E,Van,90,94,5.00,0,Art
S286,Student286,Female,Room_A,Bus,64,68,1.80,3,Music
S287,Student287,Male,Room_B,Car,78,82,3.40,1,Drama
S288,Student288,Female,Room_C,Walk,60,64,1.50,4,Math
S289,Student289,Male,Room_D,Bicycle,84,88,4.10,0,Sports
S290,Student290,Female,Room_E,Van,71,75,2.70,1,Science
S291,Student291,Male,Room_A,Bus,76,80,3.10,1,Art
S292,Student292,Female,Room_B,Car,88,92,4.80,0,Music
S293,Student293,Male,Room_C,Walk,59,63,1.40,4,Art
S294,Student294,Female,Room_D,Bicycle,82,86,3.90,0,Science
S295,Student295,Male,Room_E,Van,66,70,2.10,2,Drama
S296,Student296,Female,Room_A,Bus,74,78,2.90,1,Math
S297,Student297,Male,Room_B,Car,93,96,5.20,0,Sports
S298,Student298,Female,Room_C,Walk,62,66,1.70,3,Music
S299,Student299,Male,Room_D,Bicycle,79,83,3.50,1,Art
S300,Student300,Female,Room_E,Van,68,72,2.30,2,Science
